col0 col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23 col24 col25 col26 col27 col28 col29 col30 col31 col32 col33 col34 col35 col36 col37 col38 col39 col40 col41 col42 col43 col44 col45 col46 col47 col48 col49 col50 col51 col52 col53
58829.34158565 1.193 123572.78761853708 124207.24756125303 590222.2959700329 2636309.5783940097 17211.331010327558 53039.287027928105 37449.016902712174 56938.033670418954 76768.20554545359 56820.37029730587 27957.123770042905 419397.2898347221 39131.45446185686 192359.20586240623 58899.7090771473 66725.214973556 7122026.677967465 47984.068864435365 123982.82159667904 32971.09224489884 343549.43675316643 71585.58356838644 416734.6434037642 504952.28569868393 19552.37934355531 137059.58853115427 171.31061327243745 171.90363850139255 593.810607634207 1513.3708669143534 26.652472457200382 78.92178646726983 56.759469652195996 84.01895732632302 111.21096459939008 84.03423904057546 42.97838950026212 464.33533155873704 59.21277032002852 250.19439332514665 87.20725754104123 97.7073974712998 2594.1971332530297 71.80474075337536 171.97195917919024 50.289053137310646 399.2254757685557 110.02418511960293 495.5532757129167 531.6675177342659 30.34107047863979 208.73096136370285
58829.34243056 1.19 123418.6753149089 124840.87485646381 590001.9334487749 2545793.7350820955 17513.172925280756 53034.93649306218 37885.580204043945 57683.84939358296 77125.73588081246 56811.7841674317 29005.272090016922 419290.90000593656 39254.508638016065 192161.0717702211 59480.829234664794 66784.10111712414 6645467.970737791 49524.14899655321 123799.7554157303 34341.02474201599 343276.2242918211 70581.83109914657 415646.6227718698 505556.4046520532 19187.245068846387 141765.14746619074 171.24811475358447 172.81946854841456 593.8469274998047 1483.9704831229822 27.139269357321197 78.97086787856371 57.47939285334304 85.13546741016582 111.80625595011782 84.07742057269057 44.57100630266527 464.50930296073653 59.45275269522433 250.0704205049237 88.08438430691504 97.91562569904848 2501.0798397482217 74.10892931217543 171.89094592020257 52.41865439569532 399.2221499201977 108.55113230083863 494.52657335485014 532.3913214655054 29.82861808174088 216.03172959693802
58829.34327546 1.186 122141.0273130631 124441.23160718789 588877.9969412033 2699651.7965034745 16178.155597504461 54128.28632779978 38222.0902430102 57490.85166705359 76935.50240730192 56434.92342944187 27836.496405403246 417902.35879809514 39043.484722814 192023.74362552853 60190.17638589966 67220.3257201736 7794944.138539613 48873.73527593387 123689.80479545292 34814.399819034734 343666.6623206468 70237.41103122837 413739.6781392491 505269.4646136571 19318.271145912528 136510.96499060653 169.88163909820065 172.52256134659623 593.4388228071549 1534.4127040541744 25.133963582185295 80.64340717162631 58.05013064109812 84.97978268614409 111.67700719361859 83.66751799393383 42.90702892051789 463.6249230703017 59.21561262318327 250.24108137075214 89.20253254258718 98.64598789888116 2720.7674251540666 73.25491480961708 171.96361722149717 53.18924537859687 399.7717963632257 108.18778568070506 493.1820726213966 532.5293271281931 30.07246526737879 208.3852907549382
58829.34412037 1.183 123648.80840344541 124193.28171562275 589975.8264435147 2666420.765085958 16849.02278289781 53247.26577091421 37851.56924782245 56270.03828670463 77789.36354629113 56250.74467818305 27822.846195859136 418177.17688996263 39052.54365855479 191579.42118433735 59014.02660644555 66686.90336574521 6982507.699282548 49167.90611353854 124074.66494874092 33666.824874079786 343560.5601763874 71478.57436426252 415124.5743796986 504747.76884506724 19227.00997550448 133259.03762908326 171.90224839146038 172.348107277291 594.4571318853974 1523.872254470191 26.188430035333425 79.48023632063052 57.541277820334706 83.34426462405733 112.92638954767595 83.49907976750357 42.93555531804768 464.20958204617074 59.2946418880982 249.92854011835715 87.64602548485622 98.02384916716191 2567.77630616153 73.74546483518762 172.64438838025347 51.53652826094304 400.02696090210486 110.19649277437499 494.94773728570993 532.4405919358342 29.980464175041302 203.7858330864769
58829.34496528 1.18 123435.16291705007 123696.23717887682 590649.1202003888 2539805.9565698896 17164.867517177132 53323.277817055234 37155.749312572414 57877.90005717502 76766.24666773394 56194.40020393737 27545.5734751306 421101.45276438625 38494.70102283283 192624.3563502233 58918.87537463941 66741.11045823689 6550490.14453065 49503.79981768335 124122.58430040808 35577.77682910423 343849.2400480911 68879.24219263584 413361.9364561243 506043.630335061 19802.7318826564 140534.6475489632 171.80437922596712 171.9253410416203 595.3062676769715 1482.752773271819 26.721349570640804 79.67912720683434 56.59655557507152 85.69484433472701 111.70542259065071 83.5110211120534 42.56443444421267 466.7539100471456 58.54139488322164 251.31636043372023 87.61011473487153 98.17098442479208 2482.6463052610306 74.35078167149346 172.7890795414119 54.465471982610865 400.57822533621976 106.34764119975368 493.0628956945207 533.7359333610459 30.876684779218643 214.93800881624267
58829.34581019 1.177 123756.76239117736 124270.06321209896 590800.7939379645 2620303.410496614 16902.30211448809 53709.690048568824 38300.39600089361 57276.17140526115 78247.26852098206 56806.432359497936 28618.5808666253 419710.05934947304 38857.82948458707 192712.0330681207 58910.294233960856 67024.56728761224 6839918.899453867 48250.61081271112 123417.4687937895 35253.725735613145 343002.94666913437 69235.43848843296 413180.6676392077 506429.1889875114 19745.993910480698 138570.05219417985 172.33302619867698 172.73413419327656 595.6802579370456 1509.4878510684093 26.34885311698327 80.3239202875917 58.35703951598027 84.97137496094713 113.79004631595939 84.44880821824682 44.2321544774732 466.028095346238 59.17513407505308 251.60215757085447 87.7203515813403 98.66116577786786 2540.299954043189 72.62385478335317 172.10295795881214 54.04510806514299 400.10970705137 107.07232809783271 493.4370731784057 534.2873423145577 30.825161902828015 212.32555423200637
58829.34665509 1.174 122950.97749850596 123089.44373404124 589474.7113388558 2669282.6744757374 16531.91916019289 53789.75773641147 37026.45979638421 57390.28822517727 76824.02591624239 57644.74544415064 33517.85137403762 417387.21622171317 38990.681774225144 192324.3139215316 58723.05472383264 66967.37730861304 7107930.969676567 48269.07636839076 124606.76128937787 34880.96045714355 344827.6408017435 70076.76073500881 412882.69979248167 504707.0336326919 19299.579604606086 134504.3587991916 171.5100451000632 171.55965931482987 595.1032009343331 1525.6519025130551 25.81068729922696 80.51843589157767 56.5767414818246 85.23729598857014 112.00723598588333 85.7464515755693 51.56968481337948 464.0382070206024 59.42818483104661 251.43484981359697 87.53731812678059 98.72580108239181 2592.495373953008 72.74750878123264 173.8173384167132 53.56582769191924 402.06743776789034 108.4469725976056 493.5337273268921 533.4489404759967 30.204247062239272 206.0938560478191
58829.3475 1.171 123488.99663572112 124513.96585997584 590830.8430010667 2599263.343929789 15693.862620159285 53028.46276356303 37613.9846517634 56854.553205195814 78067.14812402223 57227.74113578856 28148.866964376066 420208.8298275083 38955.86822151742 191665.19091351406 59050.28937432321 66249.07909828675 6659819.8424668 49588.75724477979 123931.1407766004 35096.61706782167 345269.1750288454 67460.93622806168 410872.5569531608 508249.57526406593 19356.980369262048 140424.13698654296 172.41218867876728 173.49063932466012 596.4683824086173 1503.161506239943 24.56687706389937 79.55028578861676 57.507113569605906 84.5812129904568 113.83501854416583 85.25758515748329 43.65186412427158 467.143126289263 59.45648040911059 250.98192082452584 88.12917466619783 97.86881284759156 2505.0708348674016 74.74135076135639 173.16041181556997 53.956372549397976 402.76060613105926 104.6320769944477 491.78876740082086 536.4689825469302 30.333282430637365 215.52125652923
58829.34834491 1.168 123791.56753957632 124096.37697840144 593355.3102708554 2529347.020771405 17202.44306003576 52373.571425230824 37861.05418553209 58171.35247711936 76912.09105439385 57981.79560887854 28318.94343773788 420245.01025725866 39290.22298469598 193050.9892546562 59717.43889751559 67554.37295004242 6199047.757067602 48853.998678312 125116.60773820226 36667.73888982937 345551.633507298 65949.3288702828 411718.8426472444 507892.0003326477 19477.08001876477 138236.64228169783 172.88635556293502 173.08153277910017 598.3632720402967 1480.2230665152388 26.894720597861795 78.6209973680319 57.90418721654399 86.45882452429103 112.36580068759689 86.38522267054736 43.91967479437781 467.27603847074363 60.00554067421124 252.62106025503846 89.09058475289122 99.70016866548254 2411.8509101324858 73.74837168795433 174.67967750858864 56.37493444997918 403.12457434288683 102.33397980596212 492.07885595085025 536.3103671292803 30.528131837554366 212.5855759479744
58829.34918982 1.165 124232.88332489919 123656.94438756723 593748.5237142872 2498679.124133514 17049.700511662 53445.31801136024 38008.11989823985 58437.038107904256 79344.74646032788 58468.778346103965 28865.015670684865 420993.4961148948 39067.40223510837 193312.1910307359 59088.85615194263 68032.8714021587 5938059.454982677 49651.558274891926 125739.73502536555 37298.48237348074 346181.969587435 63044.03149471566 409678.93250570074 509072.8840517857 20112.77594387415 136892.549635463 173.63129541027988 172.69094043071925 598.9577685145623 1470.3222958839563 26.704527049717086 80.28254260990543 58.182980564458404 86.92520988770096 115.74294596964661 87.15687391545073 44.804426773033455 468.2596092890047 59.72603157212396 253.0857641732156 88.31620567998027 100.4585835226161 2357.4835246202347 74.98370634928357 175.65304987624884 57.40662937737493 404.03322960923924 97.94736318512851 489.972395144242 537.4392390318164 31.545118978165547 210.50383361291912
